ticker,opex_date,data_type,week_open,week_high,week_low,expiration_close,range_dollars,range_percent,weekly_return_percent,close_position_in_range,total_volume,average_volume,spot_price,atm_strike,atm_call_mid,atm_put_mid,expected_move,expected_move_percent,implied_upper,implied_lower,iv_percent,high_oi_put_strike,high_oi_put_oi,high_oi_call_strike,high_oi_call_oi
AMZN,2025-07-18,historical,225.07,227.27,222.18,226.13,5.09,2.26,0.47,0.776,179835400.0,35967080.0,,,,,,,,,,,,,
AMZN,2025-08-15,historical,221.78,234.08,219.05,231.03,15.03,6.78,4.17,0.797,206535300.0,41307060.0,,,,,,,,,,,,,
AMZN,2025-09-19,historical,230.63,235.9,228.71,231.48,7.19,3.12,0.37,0.385,250137300.0,50027460.0,,,,,,,,,,,,,
AMZN,2025-10-17,historical,217.7,220.68,211.03,213.04,9.65,4.43,-2.14,0.208,217786300.0,43557260.0,,,,,,,,,,,,,
AMZN,2025-11-21,historical,233.25,234.6,215.18,220.69,19.42,8.33,-5.38,0.284,297662500.0,59532500.0,,,,,,,,,,,,,
AMZN,2025-12-19,historical,227.93,229.23,220.99,227.35,8.24,3.62,-0.25,0.772,266436200.0,53287240.0,,,,,,,,,,,,,
AMZN,2026-01-16,historical,246.73,248.94,236.22,239.12,12.72,5.16,-3.08,0.228,204542100.0,40908420.0,,,,,,,,,,,,,
AMZN,2026-02-20,historical,198.13,211.17,196.0,210.11,15.17,7.66,6.05,0.93,222433700.0,55608425.0,,,,,,,,,,,,,
AMZN,2026-03-20,historical,208.35,215.7,204.32,205.37,11.38,5.46,-1.43,0.092,225161000.0,45032200.0,,,,,,,,,,,,,
AMZN,2026-04-17,historical,237.45,256.18,235.75,250.56,20.43,8.6,5.52,0.725,251821400.0,50364280.0,,,,,,,,,,,,,
AMZN,2026-05-15,future,,,,,,,,,,,268.99,270.0,3.05,4.05,7.1,2.64,276.09,261.89,0.78,255.0,0.0,270.0,0.0
INTC,2025-06-20,historical,20.41,21.89,20.3,21.08,1.59,7.79,3.28,0.491,401930700.0,100482675.0,,,,,,,,,,,,,
INTC,2025-07-18,historical,23.24,23.78,22.25,23.1,1.53,6.58,-0.6,0.556,282965400.0,56593080.0,,,,,,,,,,,,,
INTC,2025-08-15,historical,20.45,25.65,20.44,24.56,5.21,25.48,20.1,0.791,893937200.0,178787440.0,,,,,,,,,,,,,
INTC,2025-09-19,historical,24.33,32.38,24.22,29.58,8.16,33.54,21.58,0.657,956992800.0,191398560.0,,,,,,,,,,,,,
INTC,2025-10-17,historical,36.44,38.38,34.69,37.01,3.69,10.13,1.56,0.629,523924200.0,104784840.0,,,,,,,,,,,,,
INTC,2025-11-21,historical,35.45,36.68,32.89,34.5,3.79,10.69,-2.68,0.425,403231200.0,80646240.0,,,,,,,,,,,,,
INTC,2025-12-19,historical,38.33,38.48,35.67,36.82,2.81,7.33,-3.94,0.409,398870500.0,79774100.0,,,,,,,,,,,,,
INTC,2026-01-16,historical,44.24,50.39,43.89,46.96,6.5,14.69,6.15,0.472,678514900.0,135702980.0,,,,,,,,,,,,,
INTC,2026-02-20,historical,45.93,46.83,42.88,44.11,3.95,8.6,-3.96,0.311,294576800.0,73644200.0,,,,,,,,,,,,,
INTC,2026-03-20,historical,47.91,49.17,43.64,43.87,5.53,11.54,-8.43,0.042,518182900.0,103636580.0,,,,,,,,,,,,,
INTC,2026-04-17,historical,62.18,70.33,62.09,68.5,8.24,13.25,10.16,0.778,544118400.0,108823680.0,,,,,,,,,,,,,
INTC,2026-05-15,future,,,,,,,,,,,129.44,129.0,6.21,5.7,11.91,9.2,141.35,117.53,0.0,106.0,0.0,130.0,0.0
META,2025-06-20,historical,697.69,705.49,677.08,680.75,28.41,4.07,-2.43,0.129,56393300.0,14098325.0,,,,,,,,,,,,,
META,2025-07-18,historical,715.92,726.29,690.03,702.63,36.26,5.07,-1.86,0.347,58119600.0,11623920.0,,,,,,,,,,,,,
META,2025-08-15,historical,768.28,794.38,762.88,783.39,31.51,4.1,1.97,0.651,52478500.0,10495700.0,,,,,,,,,,,,,
META,2025-09-19,historical,755.7,788.95,750.23,776.56,38.72,5.12,2.76,0.68,66369000.0,13273800.0,,,,,,,,,,,,,
META,2025-10-17,historical,711.82,724.28,698.16,715.72,26.12,3.67,0.55,0.672,49577800.0,9915560.0,,,,,,,,,,,,,
META,2025-11-21,historical,608.02,610.67,580.28,593.26,30.39,5.0,-2.43,0.427,108402200.0,21680440.0,,,,,,,,,,,,,
META,2025-12-19,historical,645.15,670.43,638.15,658.21,32.27,5.0,2.02,0.621,115694100.0,23138820.0,,,,,,,,,,,,,
META,2026-01-16,historical,651.97,653.41,613.7,619.72,39.71,6.09,-4.95,0.151,78444100.0,15688820.0,,,,,,,,,,,,,
META,2026-02-20,historical,638.95,662.78,627.61,655.1,35.17,5.5,2.53,0.782,51543100.0,12885775.0,,,,,,,,,,,,,
META,2026-03-20,historical,632.0,636.55,587.25,593.66,49.3,7.8,-6.07,0.13,71672600.0,14334520.0,,,,,,,,,,,,,
META,2026-04-17,historical,629.5,691.52,624.4,688.55,67.12,10.66,9.38,0.956,68137800.0,13627560.0,,,,,,,,,,,,,
META,2026-05-15,future,,,,,,,,,,,598.86,600.0,7.9,8.7,16.6,2.77,615.46,582.26,0.39,567.5,0.0,600.0,0.0
MSFT,2025-06-20,historical,472.47,480.67,471.34,474.64,9.33,1.97,0.46,0.354,86142900.0,21535725.0,,,,,,,,,,,,,
MSFT,2025-07-18,historical,498.62,511.67,498.14,507.1,13.53,2.71,1.7,0.663,80853200.0,16170640.0,,,,,,,,,,,,,
MSFT,2025-08-15,historical,519.28,529.62,516.08,517.17,13.54,2.61,-0.41,0.08,103963000.0,20792600.0,,,,,,,,,,,,,
MSFT,2025-09-19,historical,506.68,517.15,503.83,515.79,13.31,2.63,1.8,0.898,124060100.0,24812020.0,,,,,,,,,,,,,
MSFT,2025-10-17,historical,514.27,515.05,503.9,511.45,11.14,2.17,-0.55,0.677,79090600.0,15818120.0,,,,,,,,,,,,,
MSFT,2025-11-21,historical,506.34,510.0,467.2,471.04,42.8,8.45,-6.97,0.09,134724900.0,26944980.0,,,,,,,,,,,,,
MSFT,2025-12-19,historical,479.01,488.49,469.81,484.81,18.68,3.9,1.21,0.803,168370100.0,33674020.0,,,,,,,,,,,,,
MSFT,2026-01-16,historical,475.58,479.89,454.86,458.81,25.03,5.26,-3.53,0.158,137722500.0,27544500.0,,,,,,,,,,,,,
MSFT,2026-02-20,historical,398.31,404.43,393.63,397.23,10.8,2.71,-0.27,0.333,117551400.0,29387850.0,,,,,,,,,,,,,
MSFT,2026-03-20,historical,398.07,404.4,380.12,381.87,24.28,6.1,-4.07,0.072,155862500.0,31172500.0,,,,,,,,,,,,,
MSFT,2026-04-17,historical,373.61,431.58,371.02,422.79,60.56,16.21,13.16,0.855,208524300.0,41704860.0,,,,,,,,,,,,,
MSFT,2026-05-15,future,,,,,,,,,,,412.66,412.5,5.4,5.24,10.64,2.58,423.3,402.02,0.0,392.5,0.0,415.0,0.0
MU,2025-06-20,historical,117.53,123.86,117.04,123.3,6.82,5.81,4.91,0.918,91682200.0,22920550.0,,,,,,,,,,,,,
MU,2025-07-18,historical,120.21,121.21,110.79,114.22,10.42,8.67,-4.98,0.33,141743700.0,28348740.0,,,,,,,,,,,,,
MU,2025-08-15,historical,124.79,128.41,119.27,120.69,9.15,7.33,-3.28,0.156,110687800.0,22137560.0,,,,,,,,,,,,,
MU,2025-09-19,historical,156.73,170.2,155.04,162.49,15.17,9.68,3.68,0.492,121379300.0,24275860.0,,,,,,,,,,,,,
MU,2025-10-17,historical,190.63,206.17,186.1,202.21,20.07,10.53,6.07,0.803,119958300.0,23991660.0,,,,,,,,,,,,,
MU,2025-11-21,historical,246.72,260.37,192.43,207.2,67.93,27.54,-16.02,0.217,183505300.0,36701060.0,,,,,,,,,,,,,
MU,2025-12-19,historical,246.91,268.16,221.51,265.7,46.65,18.89,7.61,0.947,219336200.0,43867240.0,,,,,,,,,,,,,
MU,2026-01-16,historical,340.41,365.66,328.06,362.6,37.59,11.04,6.52,0.919,140583200.0,28116640.0,,,,,,,,,,,,,
MU,2026-02-20,historical,400.78,430.39,394.43,427.99,35.95,8.97,6.79,0.933,112402300.0,28100575.0,,,,,,,,,,,,,
MU,2026-03-20,historical,445.97,471.14,415.19,422.72,55.96,12.55,-5.21,0.135,283876000.0,56775200.0,,,,,,,,,,,,,
MU,2026-04-17,historical,416.47,470.97,408.5,455.07,62.47,15.0,9.27,0.745,196952200.0,39390440.0,,,,,,,,,,,,,
MU,2026-05-15,future,,,,,,,,,,,795.33,795.0,39.0,38.1,77.1,9.69,872.43,718.23,0.0,642.5,0.0,800.0,0.0
NVDA,2025-06-20,historical,143.33,146.18,142.63,143.83,3.55,2.48,0.35,0.338,726692000.0,181673000.0,,,,,,,,,,,,,
NVDA,2025-07-18,historical,165.34,174.22,161.99,172.38,12.23,7.4,4.26,0.85,833732200.0,166746440.0,,,,,,,,,,,,,
NVDA,2025-08-15,historical,182.02,184.45,178.01,180.42,6.44,3.54,-0.88,0.374,749836800.0,149967360.0,,,,,,,,,,,,,
NVDA,2025-09-19,historical,175.65,178.83,168.39,176.65,10.44,5.94,0.57,0.791,928588600.0,185717720.0,,,,,,,,,,,,,
NVDA,2025-10-17,historical,187.95,190.09,177.27,183.2,12.82,6.82,-2.53,0.463,926433200.0,185286640.0,,,,,,,,,,,,,
NVDA,2025-11-21,historical,185.95,195.98,172.91,178.86,23.07,12.41,-3.81,0.258,1324905200.0,264981040.0,,,,,,,,,,,,,
NVDA,2025-12-19,historical,177.93,181.44,170.3,180.98,11.14,6.26,1.71,0.959,1037161100.0,207432220.0,,,,,,,,,,,,,
NVDA,2026-01-16,historical,183.21,190.43,180.79,186.22,9.64,5.26,1.64,0.563,851839300.0,170367860.0,,,,,,,,,,,,,
NVDA,2026-02-20,historical,181.74,190.36,179.17,189.81,11.19,6.16,4.44,0.951,632002800.0,158000700.0,,,,,,,,,,,,,
NVDA,2026-03-20,historical,182.97,188.88,171.72,172.7,17.16,9.38,-5.61,0.057,968780300.0,193756060.0,,,,,,,,,,,,,
NVDA,2026-04-17,historical,186.03,201.7,185.74,201.68,15.96,8.58,8.41,0.999,774630900.0,154926180.0,,,,,,,,,,,,,
NVDA,2026-05-15,future,,,,,,,,,,,219.44,220.0,3.83,4.38,8.21,3.74,227.65,211.23,0.78,205.0,0.0,220.0,0.0
QCOM,2025-06-20,historical,154.36,155.75,148.07,148.74,7.69,4.98,-3.64,0.088,38043800.0,9510950.0,,,,,,,,,,,,,
QCOM,2025-07-18,historical,153.76,154.04,148.96,152.16,5.08,3.31,-1.04,0.631,35409100.0,7081820.0,,,,,,,,,,,,,
QCOM,2025-08-15,historical,146.04,156.55,145.2,155.16,11.35,7.77,6.25,0.878,36501800.0,7300360.0,,,,,,,,,,,,,
QCOM,2025-09-19,historical,159.56,167.64,158.38,164.94,9.26,5.81,3.38,0.709,49525700.0,9905140.0,,,,,,,,,,,,,
QCOM,2025-10-17,historical,154.17,163.3,154.0,161.58,9.3,6.03,4.81,0.815,36840100.0,7368020.0,,,,,,,,,,,,,
QCOM,2025-11-21,historical,170.82,172.84,157.03,161.43,15.81,9.25,-5.5,0.278,52351200.0,10470240.0,,,,,,,,,,,,,
QCOM,2025-12-19,historical,178.57,179.16,170.95,174.13,8.21,4.6,-2.49,0.387,56783600.0,11356720.0,,,,,,,,,,,,,
QCOM,2026-01-16,historical,174.76,174.76,158.19,158.4,16.56,9.48,-9.36,0.013,52843200.0,10568640.0,,,,,,,,,,,,,
QCOM,2026-02-20,historical,140.1,143.56,139.01,141.97,4.55,3.25,1.33,0.651,39099700.0,9774925.0,,,,,,,,,,,,,
QCOM,2026-03-20,historical,131.07,134.05,128.9,129.9,5.15,3.93,-0.89,0.194,118986200.0,23797240.0,,,,,,,,,,,,,
QCOM,2026-04-17,historical,128.0,136.97,126.46,136.2,10.51,8.21,6.41,0.927,43746100.0,8749220.0,,,,,,,,,,,,,
QCOM,2026-05-15,future,,,,,,,,,,,237.53,240.0,10.3,12.63,22.93,9.65,260.46,214.6,3.13,192.5,0.0,240.0,0.0
RKLB,2025-06-20,historical,25.87,30.11,25.6,30.04,4.51,17.43,16.12,0.984,83623900.0,20905975.0,,,,,,,,,,,,,
RKLB,2025-07-18,historical,39.3,53.44,38.77,51.39,14.67,37.33,30.76,0.86,165568000.0,33113600.0,,,,,,,,,,,,,
RKLB,2025-08-15,historical,44.65,47.27,41.51,44.27,5.76,12.91,-0.85,0.48,92921100.0,18584220.0,,,,,,,,,,,,,
RKLB,2025-09-19,historical,53.58,55.17,46.45,47.79,8.72,16.27,-10.81,0.154,133600300.0,26720060.0,,,,,,,,,,,,,
RKLB,2025-10-17,historical,67.88,73.97,62.19,66.27,11.78,17.35,-2.37,0.346,120822700.0,24164540.0,,,,,,,,,,,,,
RKLB,2025-11-21,historical,45.15,46.26,37.57,40.3,8.69,19.25,-10.74,0.314,93768800.0,18753760.0,,,,,,,,,,,,,
RKLB,2025-12-19,historical,63.05,70.56,52.68,70.52,17.88,28.36,11.84,0.998,159844900.0,31968980.0,,,,,,,,,,,,,
RKLB,2026-01-16,historical,84.98,99.58,83.42,96.3,16.16,19.02,13.32,0.797,133146100.0,26629220.0,,,,,,,,,,,,,
RKLB,2026-02-20,historical,66.08,78.2,65.0,70.86,13.2,19.97,7.23,0.444,64124500.0,16031125.0,,,,,,,,,,,,,
RKLB,2026-03-20,historical,69.32,78.67,66.39,67.23,12.28,17.71,-3.02,0.068,144398000.0,28879600.0,,,,,,,,,,,,,
RKLB,2026-04-17,historical,67.05,86.99,66.59,84.8,20.4,30.43,26.47,0.893,131286900.0,26257380.0,,,,,,,,,,,,,
RKLB,2026-05-15,future,,,,,,,,,,,117.35,115.0,7.22,4.81,12.03,10.25,129.38,105.32,0.0,94.0,0.0,120.0,0.0
TSLA,2025-06-20,historical,331.29,332.36,314.74,322.16,17.62,5.32,-2.76,0.421,376034300.0,94008575.0,,,,,,,,,,,,,
TSLA,2025-07-18,historical,317.73,330.9,310.5,329.65,20.4,6.42,3.75,0.939,421062400.0,84212480.0,,,,,,,,,,,,,
TSLA,2025-08-15,historical,335.0,348.98,327.02,330.56,21.96,6.56,-1.33,0.161,403001700.0,80600340.0,,,,,,,,,,,,,
TSLA,2025-09-19,historical,423.13,432.22,402.43,426.07,29.79,7.04,0.69,0.794,557828400.0,111565680.0,,,,,,,,,,,,,
TSLA,2025-10-17,historical,423.53,441.46,417.86,439.31,23.6,5.57,3.73,0.909,390301900.0,78060380.0,,,,,,,,,,,,,
TSLA,2025-11-21,historical,398.74,428.94,383.76,391.09,45.18,11.33,-1.92,0.162,468960000.0,93792000.0,,,,,,,,,,,,,
TSLA,2025-12-19,historical,469.44,495.28,465.83,481.2,29.45,6.27,2.51,0.522,527114500.0,105422900.0,,,,,,,,,,,,,
TSLA,2026-01-16,historical,441.23,454.3,434.22,437.5,20.08,4.55,-0.85,0.163,282314700.0,56462940.0,,,,,,,,,,,,,
TSLA,2026-02-20,historical,412.36,416.9,400.51,411.82,16.39,3.97,-0.13,0.69,214532000.0,53633000.0,,,,,,,,,,,,,
TSLA,2026-03-20,historical,396.22,403.73,364.46,367.96,39.27,9.91,-7.13,0.089,301518800.0,60303760.0,,,,,,,,,,,,,
TSLA,2026-04-17,historical,350.07,409.28,348.57,400.62,60.71,17.34,14.44,0.857,381562600.0,76312520.0,,,,,,,,,,,,,
TSLA,2026-05-15,future,,,,,,,,,,,445.0,445.0,10.55,10.3,20.85,4.69,465.85,424.15,0.0,405.0,0.0,447.5,0.0
